,source_id,experiment_id,member_id,variable_id,file_name
14,CNRM-CM6-1,1pctCO2,r1i1p1f2,rlut,pangeo_data/CNRM-CM6-1_1pctCO2_r1i1p1f2_rlut.npy
15,MRI-ESM2-0,abrupt-4xCO2,r4i1p1f1,rsut,pangeo_data/MRI-ESM2-0_abrupt-4xCO2_r4i1p1f1_rsut.npy
16,CNRM-CM6-1,abrupt-4xCO2,r6i1p1f2,rsdt,pangeo_data/CNRM-CM6-1_abrupt-4xCO2_r6i1p1f2_rsdt.npy
17,BCC-CSM2-MR,piControl,r1i1p1f1,mlotst,pangeo_data/BCC-CSM2-MR_piControl_r1i1p1f1_mlotst.npy
18,CESM2,abrupt-4xCO2,r1i1p1f1,ts,pangeo_data/CESM2_abrupt-4xCO2_r1i1p1f1_ts.npy
19,MRI-ESM2-0,abrupt-4xCO2,r8i1p1f1,rtmt,pangeo_data/MRI-ESM2-0_abrupt-4xCO2_r8i1p1f1_rtmt.npy
20,MRI-ESM2-0,1pctCO2,r1i1p1f1,tos,pangeo_data/MRI-ESM2-0_1pctCO2_r1i1p1f1_tos.npy
21,MRI-ESM2-0,abrupt-4xCO2,r5i1p1f1,rlut,pangeo_data/MRI-ESM2-0_abrupt-4xCO2_r5i1p1f1_rlut.npy
22,IPSL-CM6A-LR,piControl,r1i2p1f1,mlotst,pangeo_data/IPSL-CM6A-LR_piControl_r1i2p1f1_mlotst.npy
23,GISS-E2-1-G,1pctCO2,r1i1p1f1,tos,pangeo_data/GISS-E2-1-G_1pctCO2_r1i1p1f1_tos.npy
24,NESM3,1pctCO2,r1i1p1f1,tos,pangeo_data/NESM3_1pctCO2_r1i1p1f1_tos.npy
25,CNRM-ESM2-1,1pctCO2,r2i1p1f2,rsdt,pangeo_data/CNRM-ESM2-1_1pctCO2_r2i1p1f2_rsdt.npy
26,CESM2-WACCM-FV2,piControl,r1i1p1f1,ts,pangeo_data/CESM2-WACCM-FV2_piControl_r1i1p1f1_ts.npy
27,CNRM-ESM2-1,1pctCO2,r3i1p1f2,tos,pangeo_data/CNRM-ESM2-1_1pctCO2_r3i1p1f2_tos.npy
28,ACCESS-ESM1-5,abrupt-4xCO2,r1i1p1f1,ts,pangeo_data/ACCESS-ESM1-5_abrupt-4xCO2_r1i1p1f1_ts.npy
29,MRI-ESM2-0,abrupt-4xCO2,r7i1p1f1,rtmt,pangeo_data/MRI-ESM2-0_abrupt-4xCO2_r7i1p1f1_rtmt.npy
30,IPSL-CM6A-LR,abrupt-4xCO2,r11i1p1f1,tos,pangeo_data/IPSL-CM6A-LR_abrupt-4xCO2_r11i1p1f1_tos.npy
31,GISS-E2-1-G,1pctCO2,r1i1p3f1,ts,pangeo_data/GISS-E2-1-G_1pctCO2_r1i1p3f1_ts.npy
32,CNRM-ESM2-1,abrupt-4xCO2,r1i1p1f2,tos,pangeo_data/CNRM-ESM2-1_abrupt-4xCO2_r1i1p1f2_tos.npy
33,CESM2-WACCM,abrupt-4xCO2,r1i1p1f1,tos,pangeo_data/CESM2-WACCM_abrupt-4xCO2_r1i1p1f1_tos.npy
